game_id,winner,victory_status,number_of_turns,white_player_id,black_player_id,opening_eco,moveset
cn6dxWB5,black,mate,64,kevchod,nima77,C55,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'h6', 'Nc3', 'Nf6', 'd3', 'Bb4', 'Bd2', 'O-O', 'O-O', 'Re8', 'Re1', 'Ng4', 'h3', 'Nf6', 'a3', 'Bd6', 'b4', 'a6', 'Nd5', 'b5', 'Nxf6+', 'Qxf6', 'Bd5', 'Rb8', 'c3', 'Bb7', 'g3', 'Ne7', 'Bxb7', 'Rxb7', 'Nh4', 'Qe6', 'c4', 'bxc4', 'dxc4', 'c5', 'Qc2', 'Qxh3', 'Qa4', 'cxb4', 'axb4', 'Ng6', 'Qxa6', 'Rbb8', 'Qxd6', 'Nxh4', 'gxh4', 'Qg4+', 'Kf1', 'Qxh4', 'Qxd7', 'Rbd8', 'Qc6', 'Re6', 'Qc7', 'Rxd2', 'Qc8+', 'Kh7', 'Ra8', 'Qxf2#']"
dkbcLJzc,black,resign,127,eminn,kevchod,B50,"['e4', 'c5', 'Nf3', 'd6', 'Bc4', 'Nf6', 'Ng5', 'e6', 'Nc3', 'Be7', 'Qf3', 'Nc6', 'Nb5', 'Ne5', 'Qe2', 'a6', 'Nc3', 'b5', 'f4', 'Nxc4', 'b3', 'Nb6', 'O-O', 'b4', 'Na4', 'Nxa4', 'bxa4', 'Bd7', 'Qf3', 'Bxa4', 'Qd3', 'Bb5', 'c4', 'Bc6', 'e5', 'dxe5', 'Qxd8+', 'Rxd8', 'fxe5', 'Ng4', 'Nh3', 'Nxe5', 'Rf4', 'g5', 'Rf1', 'Nxc4', 'Rd1', 'Ne5', 'a3', 'b3', 'Rb1', 'Ba4', 'Nf2', 'b2', 'Bxb2', 'Nd3', 'Bxh8', 'Bxd1', 'Rxd1', 'c4', 'a4', 'Bc5', 'Bf6', 'Rb8', 'Bxg5', 'Bxf2+', 'Kf1', 'Bd4', 'g4', 'Nb2', 'Rb1', 'c3', 'dxc3', 'Bxc3', 'Bf4', 'Rb4', 'Bc1', 'Nxa4', 'Rxb4', 'Bxb4', 'h4', 'Ke7', 'g5', 'f6', 'h5', 'fxg5', 'Bxg5+', 'Kf7', 'h6', 'Kg6', 'Be3', 'Nc5', 'Ke2', 'a5', 'Kd1', 'a4', 'Kc2', 'a3', 'Kb1', 'Ne4', 'Ka2', 'e5', 'Bc1', 'Nc3+', 'Ka1', 'a2', 'Bd2', 'e4', 'Bc1', 'Kf5', 'Be3', 'Kg4', 'Bd2', 'Kf3', 'Bxc3', 'Bxc3+', 'Kxa2', 'e3', 'Kb1', 'e2', 'Kc2', 'Be5', 'Kd2', 'Kf2', 'Kc2', 'e1=Q', 'Kd3']"
rl1OhAf6,black,resign,114,kevchod,lostrano,C55,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'd3', 'Na5', 'Nxe5', 'Nxc4', 'Nxc4', 'd6', 'O-O', 'Be7', 'Nc3', 'O-O', 'Re1', 'Be6', 'Na5', 'c5', 'Nxb7', 'Qc7', 'Nxd6', 'Bxd6', 'e5', 'Bxe5', 'h3', 'Bh2+', 'Kf1', 'Rfe8', 'Nb5', 'Qb6', 'c4', 'a6', 'Nc3', 'h6', 'Ne4', 'Nxe4', 'Rxe4', 'Qb7', 'Qh5', 'Qd7', 'Re3', 'Bf4', 'Rf3', 'Bxc1', 'Rxc1', 'Rab8', 'b3', 'a5', 'Re1', 'Qd6', 'g4', 'Kh7', 'g5', 'g6', 'Qh4', 'h5', 'Rfe3', 'Qd7', 'f4', 'Bxh3+', 'Rxh3', 'Rxe1+', 'Qxe1', 'Re8', 'Qg3', 'Qc7', 'Qh4', 'Qe7', 'Rh2', 'Qd6', 'Re2', 'Rxe2', 'Kxe2', 'Qe6+', 'Kf3', 'Qc6+', 'Kg3', 'Qd7', 'Qh1', 'Qxd3+', 'Kh4', 'Qe3', 'Qg2', 'Qxf4+', 'Kh3', 'Qf5+', 'Kh2', 'Qe5+', 'Qg3', 'Qe2+', 'Qg2', 'Qe5+', 'Qg3', 'Qxg3+', 'Kxg3', 'Kg7', 'Kf4', 'f6', 'gxf6+', 'Kxf6', 'Kg3', 'Kf5', 'Kh4', 'g5+', 'Kxh5', 'g4', 'Kh4', 'Kf4', 'a3', 'g3', 'Kh3', 'Kf3']"
L1aRnjTp,black,resign,43,kevchod,temi4,B01,"['e4', 'd5', 'exd5', 'Qxd5', 'Nc3', 'Qe5+', 'Be2', 'Bg4', 'd4', 'Bxe2', 'Ngxe2', 'Qf5', 'Ng3', 'Qe6+', 'Be3', 'Nc6', 'd5', 'Qd6', 'dxc6', 'Qxd1+', 'Rxd1', 'bxc6', 'O-O', 'a6', 'Bc5', 'Nf6', 'Rfe1', 'g6', 'h3', 'Rb8', 'b3', 'h5', 'Nce4', 'Bg7', 'Nxf6+', 'Bxf6', 'Ne4', 'Bg7', 'Ng5', 'Rb5', 'Bxe7', 'Be5', 'Rd7']"
F83NKRda,white,mate,19,kevchod,krmandli,C53,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'd3', 'Bc5', 'c3', 'Ng4', 'O-O', 'a6', 'a4', 'd6', 'Qb3', 'a5', 'Bxf7+', 'Kd7', 'Qe6#']"
MHIYRxOo,white,resign,83,bosi01,kevchod,A01,"['b3', 'e5', 'Bb2', 'Nc6', 'e3', 'Nf6', 'Bb5', 'Bd6', 'Bxc6', 'dxc6', 'Ne2', 'O-O', 'h3', 'Bd7', 'd3', 'b5', 'Nd2', 'c5', 'Ng3', 'Re8', 'Nde4', 'Bc6', 'Nxd6', 'Qxd6', 'O-O', 'Qd5', 'e4', 'Nxe4', 'dxe4', 'Qxd1', 'Raxd1', 'f6', 'Rfe1', 'b4', 'c3', 'a5', 'Re3', 'g6', 'a3', 'h5', 'axb4', 'axb4', 'Ra1', 'h4', 'Ne2', 'g5', 'cxb4', 'cxb4', 'Nc1', 'Red8', 'Nd3', 'Bb5', 'Nxb4', 'Rxa1+', 'Bxa1', 'Rd1+', 'Kh2', 'Rxa1', 'Nd5', 'Ra3', 'b4', 'Rxe3', 'fxe3', 'Kf7', 'Nxc7', 'Bc6', 'Kg1', 'Bxe4', 'Kf2', 'f5', 'Nb5', 'g4', 'Nd6+', 'Ke6', 'Nxe4', 'fxe4', 'hxg4', 'Kf6', 'b5', 'Kg5', 'b6', 'Kxg4', 'b7']"
oEBQhZTO,white,mate,69,deeptrouble,kevchod,B25,"['e4', 'c5', 'Nc3', 'Nc6', 'Nf3', 'g6', 'h3', 'Bg7', 'Nd5', 'e6', 'Ne3', 'Nf6', 'Nc4', 'Nxe4', 'Nd6+', 'Nxd6', 'Bb5', 'Qa5', 'Bxc6', 'bxc6', 'O-O', 'O-O', 'a3', 'Ba6', 'd3', 'c4', 'Ne5', 'Bxe5', 'Bg5', 'Bxb2', 'Rb1', 'Bxa3', 'Be7', 'Rfc8', 'Bxd6', 'Bxd6', 'Ra1', 'Qc7', 'Rxa6', 'Bh2+', 'Kh1', 'Qd6', 'g3', 'Bxg3', 'fxg3', 'Qxg3', 'Rf3', 'Qh4', 'dxc4', 'Qxc4', 'Raa3', 'f5', 'Qxd7', 'Re8', 'Rac3', 'Qe4', 'Kg2', 'Rad8', 'Qxa7', 'Rd2+', 'Kg3', 'Qe5+', 'Kh4', 'Rd4+', 'Kg5', 'h6+', 'Kxh6', 'Qg7+', 'Qxg7#']"
F0ndOQZO,white,resign,39,kevchod,wecoole,C55,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'd3', 'd5', 'exd5', 'Nxd5', 'O-O', 'f6', 'Re1', 'Nb6', 'Bb3', 'Na5', 'a4', 'Nxb3', 'cxb3', 'Be6', 'a5', 'Nd7', 'b4', 'a6', 'Nc3', 'Qe7', 'd4', 'Qxb4', 'dxe5', 'fxe5', 'Nxe5', 'Nxe5', 'Rxe5', 'Qe7', 'Nd5', 'Bg4', 'Rxe7+', 'Bxe7', 'Qxg4']"
wo2AHjP1,black,resign,40,kevchod,kingstabber,C53,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'd3', 'Bc5', 'c3', 'O-O', 'O-O', 'Bd6', 'd4', 'Na5', 'dxe5', 'Nxc4', 'exf6', 'Qxf6', 'b3', 'Ne5', 'Nxe5', 'Qxe5', 'g3', 'Qxe4', 'Re1', 'Qf5', 'c4', 'Bc5', 'Re2', 'd6', 'Nc3', 'Bd7', 'Nd5', 'Rae8', 'Ne7+', 'Rxe7', 'Rxe7', 'Qxf2+', 'Kh1', 'Bc6+']"
R5gzrHai,black,resign,114,kevchod,marcossud185,C53,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'd3', 'Bc5', 'c3', 'd6', 'O-O', 'Bd7', 'a4', 'Qe7', 'Nbd2', 'a6', 'Re1', 'O-O-O', 'Ng5', 'Bg4', 'Qb3', 'h6', 'Nxf7', 'Na5', 'Qa2', 'Nh5', 'Nxh8', 'Rxh8', 'h3', 'Bd7', 'Nb3', 'Nxc4', 'dxc4', 'Rf8', 'Nxc5', 'dxc5', 'Qa3', 'b6', 'a5', 'b5', 'cxb5', 'Bxb5', 'Be3', 'Rd8', 'Bxc5', 'Qe6', 'Be7', 'Re8', 'Bc5', 'Bd7', 'Rad1', 'Nf4', 'Re3', 'g5', 'b3', 'h5', 'Rg3', 'Ne2+', 'Kh2', 'Nxg3', 'Kxg3', 'h4+', 'Kh2', 'Qf6', 'Be3', 'g4', 'Qc5', 'g3+', 'fxg3', 'hxg3+', 'Kxg3', 'Rg8+', 'Kh2', 'Bxh3', 'Kxh3', 'Rh8+', 'Kg3', 'Qg6+', 'Kf3', 'Rf8+', 'Ke2', 'Qxg2+', 'Kd3', 'Rd8+', 'Qd5', 'Rxd5+', 'exd5', 'Qxd5+', 'Kc2', 'Qxa5', 'Kb2', 'Qb5', 'c4', 'Qb4', 'Bd2', 'Qf8', 'Ra1', 'Kb7', 'Ra4', 'Qf6', 'Rb4+', 'Kc6', 'Ra4', 'Kc5', 'Bb4+', 'Kd4', 'Bc3+', 'Kd3', 'Ra2', 'Qf5', 'Rxa6', 'e4', 'Ra5', 'Qf2+']"
j5c2RXnd,black,resign,70,marcossud185,kevchod,B25,"['e4', 'c5', 'Nc3', 'Nc6', 'Bc4', 'e6', 'Nf3', 'a6', 'e5', 'b5', 'Be2', 'Qc7', 'd4', 'cxd4', 'Nxd4', 'Nxd4', 'Qxd4', 'Bc5', 'Qg4', 'g6', 'Bf4', 'Ne7', 'O-O-O', 'Bxf2', 'Rhf1', 'Bc5', 'Ne4', 'Nd5', 'Bf3', 'Be3+', 'Kb1', 'Bxf4', 'Nf6+', 'Nxf6', 'exf6', 'Rb8', 'Be2', 'e5', 'g3', 'd6', 'gxf4', 'Bxg4', 'fxe5', 'Bxe2', 'exd6', 'Qxd6', 'Rxd6', 'Bxf1', 'Rxa6', 'Rd8', 'Kc1', 'O-O', 'Rb6', 'Rfe8', 'c3', 'Re1+', 'Kc2', 'Bd3+', 'Kb3', 'Bc4+', 'Ka3', 'Ra1', 'b3', 'Bd3', 'b4', 'h5', 'Kb2', 'Rb1+', 'Ka3', 'Ra8+']"
4aL70Wgg,white,outoftime,91,bocs,kevchod,B50,"['e4', 'c5', 'Nf3', 'd6', 'c3', 'Nf6', 'd4', 'Nxe4', 'dxc5', 'Nxc5', 'c4', 'Qb6', 'Nc3', 'e6', 'Be3', 'Qxb2', 'Rb1', 'Qxc3+', 'Bd2', 'Qa3', 'Bb4', 'Qxa2', 'Bc3', 'Qa6', 'Nd4', 'b6', 'Nb5', 'Nc6', 'Nc7+', 'Kd7', 'Nxa6', 'Bxa6', 'Be2', 'f6', 'O-O', 'Bb7', 'Bf3', 'Ba6', 'Be2', 'Kc7', 'Re1', 'e5', 'Bb4', 'Be7', 'Bxc5', 'bxc5', 'Qa4', 'Bb7', 'Qb3', 'Rab8', 'Bf3', 'Nd4', 'Qd3', 'Bxf3', 'gxf3', 'g6', 'Kg2', 'a5', 'Qa3', 'Ra8', 'Qb2', 'Rab8', 'Qc3', 'Nc6', 'Rb2', 'f5', 'Reb1', 'Rxb2', 'Rxb2', 'Rb8', 'Rxb8', 'Nxb8', 'Qxa5+', 'Kc6', 'Qb5+', 'Kc7', 'Qa5+', 'Kc6', 'Qb5+', 'Kc7', 'Qe8', 'Bg5', 'Qf7+', 'Kc8', 'Qxh7', 'Nd7', 'Qg8+', 'Kc7', 'Qxg6', 'Bf4', 'Qxf5']"
ySPWmeWy,black,resign,51,kevchod,prasanth1981,B12,"['e4', 'c6', 'd4', 'g6', 'Nc3', 'Bg7', 'Nf3', 'Qb6', 'Bc4', 'e6', 'O-O', 'h6', 'b3', 'g5', 'Be3', 'Qd8', 'e5', 'g4', 'Nd2', 'h5', 'Nde4', 'b5', 'Nd6+', 'Kf8', 'Bd3', 'Ke7', 'Bg5+', 'f6', 'exf6+', 'Nxf6', 'Nde4', 'Kf8', 'Nd6', 'Qc7', 'Bf4', 'Qa5', 'Ne2', 'Na6', 'a3', 'Nd5', 'Bd2', 'Qc7', 'Bf4', 'Nxf4', 'Nxc8', 'Nxe2+', 'Qxe2', 'Rxc8', 'f3', 'Bxd4+', 'Kh1']"
EqtKF11R,black,resign,93,kamaleon2016,kevchod,B20,"['e4', 'c5', 'Bc4', 'e6', 'd3', 'Nc6', 'c3', 'Nf6', 'Bg5', 'Be7', 'Nf3', 'd5', 'exd5', 'exd5', 'Bb5', 'O-O', 'Bxc6', 'bxc6', 'O-O', 'Ba6', 'Ne5', 'Qd6', 'Re1', 'Rab8', 'Qa4', 'Rb6', 'c4', 'd4', 'Nd2', 'Qc7', 'Bxf6', 'Bxf6', 'Ng4', 'Bd8', 'Ne4', 'Bc8', 'h3', 'a6', 'Nxc5', 'Rxb2', 'Nxa6', 'Qf4', 'Re4', 'Qd2', 'Qxc6', 'Bxg4', 'Rxg4', 'Qxf2+', 'Kh2', 'h5', 'Rg3', 'Bh4', 'Qe4', 'Bxg3+', 'Kh1', 'Qxg2+', 'Qxg2', 'Rxg2', 'Kxg2', 'h4', 'Nc5', 'Re8', 'Ne4', 'Bc7', 'a4', 'Rb8', 'a5', 'Rb3', 'a6', 'Rb2+', 'Kh1', 'f5', 'Ng5', 'Rb8', 'Ne6', 'Bb6', 'c5', 'Ba7', 'Nxd4', 'Bxc5', 'Nxf5', 'Kh7', 'Nxh4', 'Bd4', 'Nf5', 'Bxa1', 'Ne7', 'Ra8', 'Kg2', 'Rxa6', 'Kf3', 'Ra7', 'Nd5']"
RifoRB7V,white,mate,89,jankhead,kevchod,B50,"['e4', 'c5', 'Nf3', 'd6', 'Bc4', 'Nf6', 'Nc3', 'e6', 'O-O', 'Be7', 'd3', 'O-O', 'Bd2', 'Nc6', 'a3', 'Nd4', 'b4', 'Bd7', 'bxc5', 'dxc5', 'e5', 'Nxf3+', 'Qxf3', 'Ne8', 'Rfe1', 'Bc6', 'Qd1', 'f6', 'Bf4', 'Qd4', 'Ne2', 'Qd7', 'a4', 'a6', 'Nc3', 'b5', 'axb5', 'axb5', 'Nxb5', 'Rxa1', 'Qxa1', 'Qb7', 'Bxe6+', 'Kh8', 'Nc3', 'Bxg2', 'Qd1', 'Bh3', 'Bd5', 'Qd7', 'Qf3', 'Bg4', 'Qg3', 'g5', 'Be3', 'Ng7', 'f3', 'Nh5', 'Qg2', 'Bh3', 'Qe2', 'fxe5', 'Ba2', 'h6', 'Ne4', 'Qf5', 'Kf2', 'Bg4', 'Ng3', 'Nxg3', 'hxg3', 'Bd6', 'Kg2', 'h5', 'Rf1', 'Bh3+', 'Kh2', 'Bxf1', 'Qxf1', 'Qxf3', 'Qh3', 'Qe2+', 'Qg2', 'Qxe3', 'Kh3', 'Rf2', 'Qd5', 'Qd2', 'Qg8#']"
kXZYsDWT,white,resign,43,kevchod,niilo22,C53,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Bc5', 'c3', 'h6', 'd4', 'exd4', 'cxd4', 'Bb6', 'O-O', 'd6', 'h3', 'Nf6', 'Nc3', 'O-O', 'Re1', 'Bd7', 'Bf4', 'Ba5', 'e5', 'Bxc3', 'bxc3', 'Na5', 'exf6', 'Nxc4', 'fxg7', 'Kxg7', 'Qd3', 'Bb5', 'Rab1', 'a6', 'a4', 'Na3', 'c4', 'Bxc4', 'Qxa3', 'Qf6', 'Bd2', 'Qxd4', 'Nxd4']"
2h3QX1YP,black,resign,42,liveandletmate,kevchod,B20,"['e4', 'c5', 'c4', 'Nc6', 'b3', 'Nf6', 'Bd3', 'g6', 'Bb2', 'd6', 'h3', 'Bg7', 'f3', 'e5', 'Nc3', 'a6', 'Nge2', 'O-O', 'Nd5', 'Nxd5', 'exd5', 'Nb4', 'Be4', 'Qh4+', 'g3', 'Qf6', 'Bc3', 'Nd3+', 'Kf1', 'Bf5', 'Bxf5', 'Qxf5', 'Nc1', 'b5', 'Nxd3', 'Qxd3+', 'Kg2', 'b4', 'Bb2', 'Bh6', 'Qg1', 'Qxd2+']"
830fxCdz,white,mate,43,kevchod,liveandletmate,C55,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'h6', 'O-O', 'Bd6', 'Nc3', 'Nf6', 'd4', 'exd4', 'Nxd4', 'Nxd4', 'Qxd4', 'c5', 'Qe3', 'O-O', 'e5', 'Ng4', 'Qf3', 'Nxe5', 'Qg3', 'Qc7', 'Bxh6', 'g6', 'Bxf8', 'Nxc4', 'Qh4', 'Bxf8', 'Nd5', 'Qe5', 'Nf6+', 'Qxf6', 'Qxf6', 'Nd2', 'Rfe1', 'd5', 'Re8', 'Kh7', 'Rxf8', 'Ne4', 'Qh8#']"
69mJWtRN,white,resign,66,jonwlo,kevchod,B20,"['e4', 'c5', 'Bc4', 'e6', 'Nf3', 'Nc6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nxc6', 'bxc6', 'Nc3', 'Bb4', 'f3', 'd5', 'exd5', 'cxd5', 'Bb5+', 'Bd7', 'O-O', 'Bxc3', 'Bxd7+', 'Qxd7', 'bxc3', 'O-O', 'Ba3', 'Rfe8', 'Rb1', 'Qa4', 'Rb3', 'Nh5', 'f4', 'Nxf4', 'Bd6', 'Ng6', 'Qb1', 'Qc6', 'Bg3', 'a5', 'Rb8', 'Qxc3', 'Rf3', 'Qd4+', 'Kh1', 'Qa7', 'Rfb3', 'a4', 'R3b7', 'Qa5', 'Rxe8+', 'Rxe8', 'Rb8', 'Rxb8', 'Qxb8+', 'Nf8', 'h3', 'Qc5', 'Bd6', 'Qxd6', 'Qxd6', 'h5', 'h4', 'Ng6', 'g3', 'e5']"
VCVaBla1,black,outoftime,100,kevchod,mihei_pozitiv4ik_jw,C55,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'h6', 'Nc3', 'd6', 'd4', 'Nf6', 'dxe5', 'dxe5', 'Qxd8+', 'Kxd8', 'O-O', 'Be6', 'Bxe6', 'fxe6', 'Rd1+', 'Ke7', 'h3', 'g5', 'a4', 'Nb4', 'Nxe5', 'Nxc2', 'Ra2', 'Nb4', 'Ra3', 'a5', 'Ng6+', 'Kf7', 'Nxh8+', 'Kg7', 'e5', 'Nfd5', 'Nxd5', 'Nxd5', 'Rb3', 'Kxh8', 'Rxb7', 'c5', 'g3', 'Rc8', 'Ra7', 'Bg7', 'Ra6', 'Re8', 'Re1', 'Nb4', 'Rxa5', 'c4', 'h4', 'Nd3', 'Rf1', 'Nxc1', 'Rxc1', 'gxh4', 'gxh4', 'Rc8', 'Ra6', 'Bxe5', 'Rxe6', 'Bxb2', 'Rce1', 'Kg7', 'Re7+', 'Kf6', 'R1e6+', 'Kf5', 'Rxh6', 'c3', 'Rh5+', 'Kg4', 'Rhe5', 'c2', 'Re4+', 'Kf5', 'Re1', 'c1=Q', 'Rxc1', 'Bxc1', 'Re1', 'Bd2', 'Rd1', 'Ba5', 'Rd5+', 'Ke4', 'Rxa5', 'Rc1+', 'Kg2', 'Kf4', 'Rb5', 'Ra1', 'a5', 'Kg4', 'f3+', 'Kf4', 'h5', 'Ra2+']"
vzNmDgil,white,resign,51,madarsani,kevchod,B20,"['e4', 'c5', 'Qf3', 'Nc6', 'Bc4', 'Ne5', 'Qb3', 'Nxc4', 'Qxc4', 'd6', 'Nf3', 'e6', 'e5', 'd5', 'Qf4', 'h6', 'Nc3', 'Ne7', 'd4', 'b6', 'Nb5', 'Nf5', 'g4', 'a6', 'gxf5', 'axb5', 'fxe6', 'Bxe6', 'dxc5', 'bxc5', 'Bd2', 'g5', 'Qe3', 'd4', 'Qe4', 'Bd5', 'Qf5', 'Be6', 'Qe4', 'Bg7', 'Qc6+', 'Bd7', 'Qxc5', 'Rc8', 'Qxd4', 'Rxc2', 'O-O', 'g4', 'Ne1', 'Rg8', 'Nxc2']"
VxEAYkLN,white,resign,67,kevchod,ll566847,B54,"['e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nc6', 'Nc3', 'a6', 'Be3', 'Nf6', 'f3', 'e6', 'Qd2', 'd5', 'O-O-O', 'Qa5', 'exd5', 'Nb4', 'a3', 'Nbxd5', 'Nxd5', 'Qxd2+', 'Bxd2', 'Nxd5', 'Bc4', 'Bd6', 'Bxd5', 'exd5', 'Rhe1+', 'Kd8', 'g3', 'Re8', 'Ba5+', 'Kd7', 'Nf5', 'Rxe1', 'Rxe1', 'g6', 'Nxd6', 'Kxd6', 'Re8', 'Kc6', 'h4', 'b6', 'Bc3', 'h5', 'Rf8', 'f5', 'Rf6+', 'Kc5', 'Rxg6', 'Bd7', 'Bb4+', 'Kc4', 'b3+', 'Kd4', 'Rg5', 'Rh8', 'Kb2', 'Ke3', 'f4', 'a5', 'Bc3', 'Kf3', 'Bxh8']"
0by1nU4f,black,outoftime,54,georgesoros,kevchod,B21,"['e4', 'c5', 'f4', 'Nc6', 'c3', 'd5', 'e5', 'Bf5', 'Na3', 'e6', 'Nb5', 'a6', 'Nd6+', 'Bxd6', 'exd6', 'Qxd6', 'Qa4', 'Nf6', 'Bb5', 'O-O', 'Bxc6', 'bxc6', 'Nf3', 'c4', 'Ne5', 'Rfc8', 'd4', 'Ne4', 'h3', 'f6', 'g4', 'Bg6', 'Nxg6', 'hxg6', 'Be3', 'g5', 'Rf1', 'Ng3', 'Rf3', 'Rab8', 'Qxa6', 'Ne4', 'O-O-O', 'Ra8', 'Qb6', 'Rxa2', 'Qb4', 'Ra1+', 'Kc2', 'Qxb4', 'cxb4', 'Rxd1', 'Kxd1', 'Rb8']"
RJz2t3yg,black,resign,36,kevchod,black_horse7,C55,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'h6', 'Nc3', 'Bc5', 'd3', 'Nf6', 'Be3', 'Bb4', 'O-O', 'g5', 'h3', 'd6', 'Nd5', 'g4', 'Nxf6+', 'Qxf6', 'hxg4', 'Bxg4', 'c3', 'Ba5', 'b4', 'Bb6', 'Bxb6', 'axb6', 'Bb5', 'O-O-O', 'Qa4', 'Rhg8', 'Kh1', 'Bxf3', 'Qa8+', 'Kd7']"
aswj7U7L,black,resign,63,daduke,kevchod,B57,"['e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Bg5', 'Nxe4', 'Be3', 'g6', 'Bd3', 'Nc5', 'b4', 'Nxd3+', 'cxd3', 'Bg7', 'O-O', 'Nc6', 'Qb3', 'Nxd4', 'Bxd4', 'Bxd4', 'Nc3', 'O-O', 'Qc4', 'Bxc3', 'Qxc3', 'b5', 'Qc6', 'Bd7', 'Qe4', 'Bf5', 'Qd4', 'a6', 'g4', 'e5', 'Qe3', 'Bxg4', 'f3', 'Bf5', 'f4', 'exf4', 'Qxf4', 'Rc8', 'Rac1', 'Bxd3', 'Rxc8', 'Qxc8', 'Rd1', 'Qc2', 'Rd2', 'Qc1+', 'Kf2', 'Bf5', 'Qd4', 'Rd8', 'Rd1', 'Qg5', 'Ke2', 'Bg4+', 'Kd3']"
gOI6FVn5,white,mate,65,kevchod,rararasputin,C50,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Bc5', 'd3', 'h6', 'Be3', 'Bxe3', 'fxe3', 'Nf6', 'Nc3', 'd6', 'O-O', 'Bg4', 'Qd2', 'Bxf3', 'Rxf3', 'O-O', 'Nd5', 'Nxd5', 'Bxd5', 'Qd7', 'a3', 'Ne7', 'Bb3', 'Ng6', 'Raf1', 'Nh4', 'Bxf7+', 'Kh8', 'R3f2', 'g6', 'g3', 'Nf5', 'Bxg6', 'Ne7', 'Rxf8+', 'Rxf8', 'Rxf8+', 'Kg7', 'Bf5', 'Nxf5', 'Rxf5', 'd5', 'Qe2', 'dxe4', 'Qg4+', 'Kh7', 'dxe4', 'c5', 'h3', 'b5', 'Qf3', 'Kg7', 'Rxe5', 'Qxh3', 'Re7+', 'Kg6', 'Qf7+', 'Kg5', 'Re5+', 'Kg4', 'Qf4#']"
Bc9pIkNz,white,resign,96,tuing206,kevchod,B20,"['e4', 'c5', 'Qh5', 'd6', 'Bc4', 'e6', 'Qf3', 'Nc6', 'Bb5', 'Bd7', 'Bxc6', 'Bxc6', 'd3', 'Nf6', 'Bg5', 'c4', 'Bxf6', 'Qxf6', 'Qxf6', 'gxf6', 'dxc4', 'd5', 'exd5', 'exd5', 'cxd5', 'Bxd5', 'f3', 'Bg7', 'a3', 'O-O', 'Nc3', 'Rfe8+', 'Kf2', 'Bc6', 'Nh3', 'f5', 'Ne2', 'Bb5', 'Nef4', 'Bd4+', 'Kg3', 'Be5', 'a4', 'Bc6', 'Kh4', 'Bxb2', 'Rab1', 'Bf6+', 'Kh5', 'Rab8', 'g4', 'fxg4', 'Kxg4', 'Bd7+', 'Kg3', 'Bxa4', 'Kf2', 'Bh4+', 'Kf1', 'Bxc2', 'Rg1+', 'Kf8', 'Rc1', 'Ba4', 'Rg4', 'Bb5+', 'Kg2', 'Bf6', 'Nd5', 'Re2+', 'Kg3', 'Be5+', 'f4', 'Bd6', 'Nf6', 'Re3+', 'Kf2', 'Re2+', 'Kf3', 'Re6', 'Nxh7+', 'Ke7', 'N7g5', 'Rg6', 'Re1+', 'Kf6', 'Ne4+', 'Kf5', 'Rxg6', 'Kxg6', 'Nxd6', 'Bc6+', 'Kf2', 'Rh8', 'Rg1+', 'Kf6']"
juk5jelL,black,resign,50,kevchod,inggio,B84,"['e4', 'c5', 'Nf3', 'd6', 'd4', 'cxd4', 'Nxd4', 'Nf6', 'Nc3', 'a6', 'Be2', 'e6', 'O-O', 'Qc7', 'f4', 'e5', 'fxe5', 'dxe5', 'Nf3', 'Bc5+', 'Kh1', 'O-O', 'Qe1', 'Be6', 'Qg3', 'Nh5', 'Qxe5', 'Qxe5', 'Nxe5', 'Nf6', 'Bg5', 'Nfd7', 'Nxd7', 'Nxd7', 'Rad1', 'f6', 'Bf4', 'g5', 'Bd6', 'Rf7', 'Bxc5', 'Nxc5', 'Nd5', 'Kg7', 'Bh5', 'Rff8', 'a3', 'Nxe4', 'Rde1', 'Bxd5']"
